method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
issf,phi=0.1,corridor,2,3108,0.8767696267696268,0.8647460166999417,0.8878629849921753,0.11486486486486487,0.10412694007243445,0.12655369611418896,0.008365508365508366,0.005715248226445725,0.012229624031833745,705.382385321101
issf,phi=0.2,corridor,2,3000,0.8913333333333333,0.8796918519081411,0.9019738657515384,0.1,0.08977087385142318,0.11125224268042061,0.008666666666666666,0.005921228051485122,0.012668833421796293,698.3896783844427
issf,phi=0.5,corridor,2,2963,0.9095511306108673,0.8986861572524002,0.9193554935050922,0.08066149173135335,0.07139048338696256,0.0910184568139568,0.009787377657779277,0.006823237334684707,0.01402101670300979,702.5547309833024
issf,phi=1.0,corridor,2,2448,0.9387254901960784,0.928519889359021,0.9475562813038798,0.0457516339869281,0.0381620628304859,0.05476465804740441,0.015522875816993464,0.011330171408245444,0.02123375931223829,685.3916449086162
issf,phi=1.5,corridor,2,2058,0.9086491739552964,0.8954284382035109,0.9203471286489573,0.05782312925170068,0.048538350941569,0.06875562547252606,0.033527696793002916,0.02657829449203688,0.04221535095579965,635.9502673796792
issf,phi=2.0,corridor,2,2080,0.8975961538461539,0.8838252154451843,0.909901140723154,0.07115384615384615,0.06087804373453476,0.08301081998716078,0.03125,0.02459375104535111,0.03963454730515692,641.4900910551687
issf,phi=3.0,corridor,2,1613,0.8400495970241786,0.8213557331594702,0.857127551783223,0.10663360198388097,0.09249451072157602,0.12264196275857192,0.053316800991940486,0.04337573395429855,0.06538049794869058,643.7461254612546
rl_A,,corridor,2,3317,0.8893578534820621,0.8782287670153656,0.8995861097917667,0.10581851070244197,0.09580230990243797,0.11674670176978395,0.00482363581549593,0.0029713302841267416,0.007821596424572645,722.9450847457628
rl_A_i50,,corridor,2,3336,0.8729016786570744,0.8611680674516181,0.8837774413413738,0.12140287769784172,0.11075329687802299,0.1329234092268414,0.005695443645083933,0.003649234336176058,0.008878784956714958,713.1861263736264
rl_B,,corridor,2,3287,0.8889564952844539,0.8777581565136343,0.8992467288020247,0.10404624277456648,0.09406644463088971,0.11495048283228566,0.0069972619409796166,0.00466719519982478,0.01047835297848924,717.7758384668035
rl_B_i50,,corridor,2,3334,0.883623275344931,0.8722937767108087,0.8940697319709695,0.11007798440311937,0.09989911172466903,0.12115439782473561,0.00629874025194961,0.0041234929228692405,0.009610412245069226,716.5224032586558
rl_C,,corridor,2,3257,0.8799508750383789,0.8683384981571818,0.8906680110826415,0.11513662879950876,0.10462506040620566,0.12655501286076934,0.004912496162112374,0.0030261072236445045,0.007965411039616123,713.1587578506629
rl_C_i50,,corridor,2,3405,0.8781204111600588,0.8667036762106731,0.8886848991927719,0.11747430249632893,0.10708774127893789,0.12872303972068383,0.004405286343612335,0.0026715041033362062,0.007256091241663105,718.0200668896321
rl_D,,corridor,2,3412,0.9018171160609613,0.8913760501814395,0.9113543808783614,0.09349355216881594,0.08417702379735557,0.10372442924426088,0.004689331770222743,0.0028885428162426898,0.00760421539596481,722.5693857653558
rl_D_i50,,corridor,2,3136,0.8823341836734694,0.8705861748380029,0.8931466198354608,0.11033163265306123,0.0998391434860578,0.12177764125875226,0.007334183673469388,0.004892143898496144,0.010981777894246522,703.3881460065053
tissf,"eps0=1.0,lam=0.5",corridor,2,2574,0.9397824397824398,0.929920309047454,0.948333808660942,0.04584304584304584,0.03841779348934865,0.05462190297609748,0.014374514374514374,0.010446623725817047,0.019749801066148445,677.2575444398511
tissf,"eps0=1.0,lam=1.5",corridor,2,2609,0.9386738213875048,0.9288064380268013,0.9472512609933001,0.04829436565733998,0.04071119795983827,0.0572057978503938,0.013031812955155231,0.00934060355464492,0.018154978267077453,666.9109840751327
tissf,"eps0=2.0,lam=0.5",corridor,2,2963,0.9169760377995275,0.9064928123512169,0.9263794245757563,0.07222409719878502,0.06344678995000234,0.08210921142196169,0.010799865001687479,0.0076604571615886494,0.01520614953558049,688.1037909458962
tissf,"eps0=2.0,lam=1.5",corridor,2,2906,0.9222298692360633,0.9119257097413226,0.931419165113721,0.06916724019270475,0.0604989990477427,0.07897306018737167,0.008602890571231933,0.005833921900088192,0.01266935332973875,695.5388059701493
issf,phi=0.1,gauntlet,2,4058,0.9191720059142434,0.9103836867621088,0.9271674378312283,0.07589945786101528,0.0681460213603728,0.08445510419804385,0.0049285362247412515,0.0031927755872215523,0.007600752156450185,685.1847184986595
issf,phi=0.2,gauntlet,2,3985,0.922961104140527,0.9142685189698699,0.9308389929453688,0.07101631116687579,0.06344770539219509,0.07941121384891993,0.00602258469259724,0.004050539019783066,0.008946116450316323,691.4323001631321
issf,phi=0.5,gauntlet,2,3885,0.9387387387387387,0.9307556574760941,0.9458550021095263,0.054826254826254826,0.04809774203070296,0.06243429918177531,0.006435006435006435,0.004362565551374193,0.009482585662807427,681.0817109953387
issf,phi=1.0,gauntlet,2,3618,0.9430624654505252,0.9350311355734715,0.9501539039931401,0.04892205638474295,0.04235914253165495,0.05644186522086519,0.008015478164731896,0.005586722634668683,0.011487905918937858,655.838511137163
issf,phi=1.5,gauntlet,2,3153,0.9368855058674278,0.9278544442870863,0.9448532645824369,0.047573739295908656,0.04067836346851326,0.05557024146624178,0.015540754836663496,0.011775371238085898,0.020485227456508097,642.9532836831415
issf,phi=2.0,gauntlet,2,3136,0.9285714285714286,0.9190234606850389,0.9370706811340899,0.05548469387755102,0.04800267775008507,0.06405444003572934,0.01594387755102041,0.012114912517272413,0.020957329088800963,643.5927197802198
issf,phi=3.0,gauntlet,2,2925,0.9251282051282051,0.9150226383270206,0.9341185374880185,0.057777777777777775,0.04988776654082512,0.06682786601506319,0.017094017094017096,0.012990414254029609,0.02246442222466559,626.3281596452329
rl_A,,gauntlet,2,4059,0.9204237496920423,0.911694748807452,0.928357691336904,0.07440256220744025,0.06672546468935722,0.0828845028762008,0.005173688100517369,0.003386450458935932,0.007896686939283089,691.4012312633834
rl_A_i50,,gauntlet,2,4203,0.9152985962407804,0.9064967695173715,0.9233419389331677,0.07994289793004997,0.07212201581280545,0.08853095481485024,0.004758505829169641,0.003082554639816806,0.007338945423318445,700.947231609046
rl_B,,gauntlet,2,4109,0.9245558530055975,0.9160778719643449,0.9322407211951876,0.07033341445607204,0.06290943638852345,0.07856005273549244,0.005110732538330494,0.003345213839843161,0.007800753950406772,692.9973677283496
rl_B_i50,,gauntlet,2,4201,0.909307307783861,0.9002452474986662,0.9176214707149284,0.084979766722209,0.0769218313803225,0.0937960382297955,0.0057129254939300165,0.003842117767938987,0.008486907896190667,695.053664921466
rl_C,,gauntlet,2,4010,0.9229426433915212,0.914277613720797,0.9307980863267585,0.07082294264339152,0.06328688773220557,0.07918051805680217,0.006234413965087282,0.004226464465542708,0.009187517790259316,698.8900297216968
rl_C_i50,,gauntlet,2,4221,0.9151859748874674,0.9063988106785228,0.92321809140841,0.08031272210376687,0.07249019144139922,0.08889848642051161,0.0045013030087656955,0.0028836289908327098,0.007020079588442783,697.9086202433342
rl_D,,gauntlet,2,4120,0.933495145631068,0.9254758053159257,0.940706833706873,0.06043689320388349,0.053561761408631454,0.06813098256097205,0.006067961165048544,0.004113532421277332,0.0089426431602484,691.8694747789912
